no_                 ;order type code;Units;Order Date             ;Item category code;Brand Code
--------------------;---------------;----------------------------------------;-----------------------;------------------;----------
909669;ZT             ;                 4012.00000000000000000000;2018-06-01 00:00:00.000;A                 ;B1
909665;ZT             ;                 4012.00000000000000000000;2018-06-01 00:00:00.000;A                 ;B1
909623;ZT             ;                   .00000000000000000000;2018-06-01 00:00:00.000;A                 ;B1
909663;ZT             ;                 40.00000000000000000000;2018-06-01 00:00:00.000;A                 ;B1
909624;ZT             ;                 40.00000000000000000000;2018-06-01 00:00:00.000;A                 ;B1
909694;ZT             ;                  4.00000000000000000000;2018-06-16 00:00:00.000;A                 ;B2
909688;ZT             ;                  4.00000000000000000000;2018-06-16 00:00:00.000;A                 ;B2
909689;ZT             ;                  6.00000000000000000000;2018-06-16 00:00:00.000;A                 ;B2
949042;ZT             ;                  6.00000000000000000000;2019-02-18 00:00:00.000;A                 ;B3
949043;ZT             ;                  6.00000000000000000000;2019-02-18 00:00:00.000;A                 ;B3
949049;ZT             ;                  6.00000000000000000000;2019-02-18 00:00:00.000;A                 ;B3
949095;ZT             ;                  3.00000000000000000000;2019-02-18 00:00:00.000;A                 ;B3
949095;ZT             ;                  3.00000000000000000000;2019-02-18 00:00:00.000;A                 ;B3
932994;ZT             ;                  3.00000000000000000000;2019-02-18 00:00:00.000;A                 ;B3
949008;ZT             ;                  6.00000000000000000000;2019-02-18 00:00:00.000;A                 ;B3
949009;ZT             ;                  6.00000000000000000000;2019-02-18 00:00:00.000;A                 ;B3
949042;ZT             ;                  6.00000000000000000000;2019-02-18 00:00:00.000;A                 ;B3
949043;ZT             ;                  6.00000000000000000000;2019-02-18 00:00:00.000;A                 ;B3
994033;ZB             ;                400.00000000000000000000;2019-10-01 00:00:00.000;A                 ;B4
994092;ZB             ;                300.00000000000000000000;2019-10-01 00:00:00.000;A                 ;B4
994093;ZB             ;                400.00000000000000000000;2019-10-01 00:00:00.000;A                 ;B4
940292;ZT             ;               40000.00000000000000000000;2020-02-06 00:00:00.000;A                 ;B5
940292;ZT             ;               40000.00000000000000000000;2020-03-06 00:00:00.000;A                 ;B5
929965;ZT             ;                1200.00000000000000000000;2020-03-06 00:00:00.000;A                 ;B5
929969;ZT             ;               40406.00000000000000000000;2020-03-06 00:00:00.000;A                 ;B5
933989;ZT             ;               400540.00000000000000000000;2020-03-06 00:00:00.000;A                 ;B5
933990;ZT             ;               400540.00000000000000000000;2020-03-06 00:00:00.000;A                 ;B5
938548;ZT             ;                12120.00000000000000000000;2020-03-06 00:00:00.000;A                 ;B5
929958;ZT             ;                400.00000000000000000000;2020-04-06 00:00:00.000;A                 ;B5
933994;ZT             ;               41200.00000000000000000000;2020-04-06 00:00:00.000;A                 ;B5
933992;ZT             ;               44050.00000000000000000000;2020-04-06 00:00:00.000;A                 ;B5
990988;ZT             ;                400.00000000000000000000;2020-04-06 00:00:00.000;A                 ;B5
990989;ZT             ;                600.00000000000000000000;2020-04-06 00:00:00.000;A                 ;B5
990990;ZT             ;                400.00000000000000000000;2020-04-06 00:00:00.000;A                 ;B5
990999;ZT             ;               4400.00000000000000000000;2020-04-06 00:00:00.000;A                 ;B5
994049;ZT             ;                400.00000000000000000000;2020-04-06 00:00:00.000;A                 ;B5
940292;ZS             ;                4120.00000000000000000000;2020-02-06 00:00:00.000;A                 ;B5
933989;ZS             ;                4120.00000000000000000000;2020-03-06 00:00:00.000;A                 ;B5
990992;ZS             ;                4040.00000000000000000000;2020-03-06 00:00:00.000;A                 ;B5
929958;ZS             ;                4040.00000000000000000000;2020-04-06 00:00:00.000;A                 ;B5
339420;ZT             ;                  7.00000000000000000000;2020-01-03 00:00:00.000;B                 ;B6
949096;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
949092;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
949053;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
932999;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
943922;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
949096;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
949092;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
949053;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
932999;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
943922;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
949096;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
949092;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
949053;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
932999;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
949092;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
949098;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
932996;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
932992;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
932950;ZT             ;                  3.00000000000000000000;2019-04-16 00:00:00.000;A                 ;B3
